post_id,comment_id,user_id,date,text
119049,119053,484346567,1756487860,Каждый раз какую то х..йню снимаете. Лучше бы так за качеством следили.
119049,119054,104306712,1756490916,"пиццерия не отвечает на звонки, а время доставки уже вышло, как с вами связаться ?"
119049,119055,3998699,1756501509,"Ага, тоже самое. Через Роспотребнадзор, видимо"
119049,119061,104306712,1756723250,ВЕРНИТЕ ДЕНЬГИ ЗА ЗАКАЗ КОТОРЫЙ НЕ ПРИВЕЗЛИ!!
119042,119046,160643731,1756445804,"Добрый день, 
Вчера заказали пиццу, через приложение Папа Джонс 
Номер заказа: moscow-75-53813247-iP
Заказ был оформлен в 20;15 
Доставка должна быть в 20:45. 
В 21:15  ничего нет, и висит статус «готовится»
Папа Джонс ( по адресу Юрловский проезд 5) трубку не снимает (+7 (963) 698-15-21  телефон с приложения Папа Джонс) 
Поддержка не отвечает, ни одно сообщение ни прочитано, кроме робота, который пишет мне «я тоже хочу есть» 
Я подумала и решила, что я закажу 2 пиццу, потому что есть я хочу больше, чем ждать в другом месте. 
В 21:20 статус заказа сменился на «в пути» - до моего дома от пиццерии 15 минут, максимум 20 пешком
Время 21:51, у меня приехал уже из Алло Пицца, а он находится еще дальше. 
Скрины времени прилагаю. 
Папа Джонс приехала через 2 часа  в 22:20, я отказалась, потому что пицца холодная. Хотя Она была оплачена! И курьер сказал, что деньги вернут 
Но вишенкой на торте; стало то, что курьер сказал, понял что отказ,  спустился на первый этаж и начал у подъезда есть пиццу. Просто открыл коробку и начал есть."
119042,119047,160643731,1756445867,"Продолжение

Вы спросите, как я это узнала, хотела сфотографировать, что курьер вышел с моей пиццей из поъезда; так как забыла сделать до. А он все не выходил. 
Спустились с папой вниз, а он сидит и ЕСТ ПИЦЦУ. 
В приложении статут висел до 23:30 «что она в пути»
И получается, что пиццу я не поела, которую хотела изначально, зато курьер был сыт за мой счёт.  А деньги не вернули 

Слава богу, Алло пицца относится лучше клиентам, и доставляет все быстро и очень вкусно, мало того даже вышло дешевле (курьер со скрина из этой компании, в то время как другой курьер все в пути) 

И я такая не одна, просто посмотрите на отзывы 

Papa Dzhons
Yurlovskiy Drive, 5
https://yandex.com/maps/org/papa_dzhons/129524417347?si=b4wr2kqm7nb9j8xtz2mm39n6zw"
119042,119050,212182679,1756472314,"Прикиньте 

Мне уже кучу времени не начисляют баллы))) 
Короче меня скамят на деньги а поддержка молчит)))"
119042,119051,212182679,1756472326,
119042,119052,212182679,1756472343,
119042,119058,563442258,1756677448,смотрю в столице чёт плохо с Папа Джонс конечно🤨
